#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-1a.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-1a.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-1a.txt
#   Number of Unique Pairs:       41
#   Number of MaxDiff Questions:  103
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"art:abstract" "bread:wheat" "pet:dog" "dog:pet" "pet:dog" "dog:pet"
"furniture:chair" "tree:oak" "currency:dollar" "couch:furniture" "currency:dollar" "tree:oak"
"bird:robin" "fruit:grape" "insect:ant" "animal:pig" "fruit:grape" "bird:robin"
"hair:brown" "tree:ash" "bush:azalea" "bush:astilbe" "bush:azalea" "tree:ash"
"vegetable:carrot" "dollar:currency" "appliance:refrigerator" "color:red" "appliance:refrigerator" "color:red"
"dog:poodle" "footwear:boot" "oak:tree" "furniture:couch" "oak:tree" "dog:poodle"
"mammal:porpoise" "weapon:spear" "animal:carabao" "dog:chihuahua" "mammal:porpoise" "dog:chihuahua"
"school:university" "clothing:shirt" "car:mustang" "sweater:knit" "clothing:shirt" "school:university"
"automobile:van" "wheat:bread" "weather:rain" "politician:senator" "wheat:bread" "weather:rain"
"song:opera" "bird:swan" "jewelry:ring" "pen:ballpoint" "jewelry:ring" "bird:swan"
"rodent:mouse" "tree:oak" "clothing:shirt" "sweater:knit" "rodent:mouse" "tree:oak"
"weapon:spear" "song:opera" "car:mustang" "dog:chihuahua" "car:mustang" "dog:chihuahua"
"dog:pet" "weather:rain" "bird:robin" "color:red" "weather:rain" "bird:robin"
"dollar:currency" "pen:ballpoint" "currency:dollar" "politician:senator" "currency:dollar" "dollar:currency"
"furniture:chair" "oak:tree" "animal:carabao" "fruit:grape" "oak:tree" "animal:carabao"
"tree:ash" "footwear:boot" "appliance:refrigerator" "vegetable:carrot" "appliance:refrigerator" "tree:ash"
"bush:azalea" "art:abstract" "jewelry:ring" "bush:astilbe" "jewelry:ring" "art:abstract"
"bread:wheat" "animal:pig" "wheat:bread" "insect:ant" "wheat:bread" "animal:pig"
"dog:poodle" "hair:brown" "automobile:van" "pet:dog" "pet:dog" "hair:brown"
"couch:furniture" "mammal:porpoise" "rodent:mouse" "school:university" "rodent:mouse" "school:university"
"furniture:couch" "bird:swan" "bush:astilbe" "car:mustang" "furniture:couch" "bird:swan"
"currency:dollar" "furniture:couch" "sweater:knit" "automobile:van" "currency:dollar" "sweater:knit"
"dog:poodle" "furniture:chair" "animal:pig" "weather:rain" "furniture:chair" "animal:pig"
"dog:chihuahua" "bush:azalea" "politician:senator" "animal:carabao" "politician:senator" "dog:chihuahua"
"bird:robin" "bird:swan" "mammal:porpoise" "dog:pet" "mammal:porpoise" "bird:robin"
"couch:furniture" "vegetable:carrot" "pen:ballpoint" "appliance:refrigerator" "appliance:refrigerator" "couch:furniture"
"rodent:mouse" "song:opera" "footwear:boot" "hair:brown" "rodent:mouse" "hair:brown"
"oak:tree" "weapon:spear" "bread:wheat" "school:university" "oak:tree" "weapon:spear"
"clothing:shirt" "tree:oak" "jewelry:ring" "color:red" "jewelry:ring" "tree:oak"
"tree:ash" "fruit:grape" "art:abstract" "wheat:bread" "wheat:bread" "tree:ash"
"pet:dog" "insect:ant" "dollar:currency" "weather:rain" "pet:dog" "insect:ant"
"sweater:knit" "color:red" "footwear:boot" "insect:ant" "footwear:boot" "color:red"
"dog:pet" "furniture:couch" "bush:azalea" "dog:chihuahua" "furniture:couch" "dog:chihuahua"
"bird:robin" "politician:senator" "wheat:bread" "jewelry:ring" "jewelry:ring" "bird:robin"
"car:mustang" "pet:dog" "mammal:porpoise" "automobile:van" "pet:dog" "car:mustang"
"fruit:grape" "clothing:shirt" "bread:wheat" "animal:carabao" "clothing:shirt" "animal:carabao"
"dollar:currency" "weapon:spear" "furniture:chair" "art:abstract" "furniture:chair" "weapon:spear"
"appliance:refrigerator" "bird:swan" "dog:poodle" "rodent:mouse" "rodent:mouse" "bird:swan"
"hair:brown" "school:university" "couch:furniture" "tree:ash" "couch:furniture" "tree:ash"
"oak:tree" "vegetable:carrot" "tree:oak" "currency:dollar" "oak:tree" "tree:oak"
"bush:astilbe" "animal:pig" "pen:ballpoint" "song:opera" "pen:ballpoint" "animal:pig"
"bush:astilbe" "bread:wheat" "couch:furniture" "oak:tree" "oak:tree" "bread:wheat"
"tree:ash" "wheat:bread" "dog:chihuahua" "clothing:shirt" "wheat:bread" "tree:ash"
"tree:oak" "dollar:currency" "dog:poodle" "bush:azalea" "bush:azalea" "tree:oak"
"furniture:couch" "sweater:knit" "footwear:boot" "furniture:chair" "furniture:chair" "sweater:knit"
"animal:pig" "pen:ballpoint" "car:mustang" "art:abstract" "pen:ballpoint" "animal:pig"
"color:red" "jewelry:ring" "politician:senator" "bird:robin" "jewelry:ring" "bird:robin"
"pet:dog" "fruit:grape" "insect:ant" "rodent:mouse" "pet:dog" "insect:ant"
"dog:pet" "hair:brown" "weapon:spear" "currency:dollar" "currency:dollar" "dog:pet"
"school:university" "vegetable:carrot" "song:opera" "bird:swan" "vegetable:carrot" "bird:swan"
"animal:carabao" "appliance:refrigerator" "mammal:porpoise" "weather:rain" "appliance:refrigerator" "animal:carabao"
"automobile:van" "couch:furniture" "color:red" "rodent:mouse" "rodent:mouse" "color:red"
"tree:ash" "furniture:couch" "weapon:spear" "pet:dog" "pet:dog" "tree:ash"
"appliance:refrigerator" "sweater:knit" "dog:poodle" "tree:oak" "appliance:refrigerator" "tree:oak"
"fruit:grape" "politician:senator" "insect:ant" "oak:tree" "oak:tree" "insect:ant"
"art:abstract" "mammal:porpoise" "footwear:boot" "hair:brown" "footwear:boot" "hair:brown"
"automobile:van" "bird:swan" "pen:ballpoint" "animal:pig" "automobile:van" "bird:swan"
"bird:robin" "bush:astilbe" "car:mustang" "dollar:currency" "bush:astilbe" "bird:robin"
"dog:pet" "clothing:shirt" "bush:azalea" "jewelry:ring" "jewelry:ring" "dog:pet"
"currency:dollar" "weather:rain" "wheat:bread" "vegetable:carrot" "currency:dollar" "weather:rain"
"school:university" "animal:carabao" "bread:wheat" "furniture:chair" "furniture:chair" "animal:carabao"
"dog:chihuahua" "song:opera" "bird:swan" "furniture:chair" "furniture:chair" "dog:chihuahua"
"appliance:refrigerator" "bush:astilbe" "vegetable:carrot" "bread:wheat" "appliance:refrigerator" "bread:wheat"
"pen:ballpoint" "dog:chihuahua" "insect:ant" "jewelry:ring" "jewelry:ring" "dog:chihuahua"
"automobile:van" "oak:tree" "song:opera" "footwear:boot" "oak:tree" "song:opera"
"dog:poodle" "weapon:spear" "school:university" "mammal:porpoise" "mammal:porpoise" "weapon:spear"
"tree:ash" "tree:oak" "dog:pet" "pet:dog" "pet:dog" "tree:ash"
"art:abstract" "couch:furniture" "sweater:knit" "car:mustang" "couch:furniture" "car:mustang"
"animal:pig" "animal:carabao" "color:red" "weather:rain" "weather:rain" "color:red"
