#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-3c.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-3c.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-3c.txt
#   Number of Unique Pairs:       41
#   Number of MaxDiff Questions:  103
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"crying:sobbing" "crack:break" "hunger:starvation" "alcoholic:drinking" "crack:break" "crying:sobbing"
"thin:anorexic" "confident:arrogance" "fat:obese" "depressed:dismayed" "fat:obese" "thin:anorexic"
"messy:sloppy" "enthusiasm:mania" "breathing:hyperventilating" "money:rich" "money:rich" "messy:sloppy"
"nudging:shoving" "tired:exhausted" "thrifty:frugality" "hot:burning" "nudging:shoving" "hot:burning"
"breathe:hyperventilate" "insomniac:alert" "arrogance:confident" "warm:sweating" "insomniac:alert" "breathe:hyperventilate"
"wet:saturated" "attraction:stalking" "caring:overbearing" "young:underdeveloped" "wet:saturated" "caring:overbearing"
"fear:panic" "angry:enraged" "affection:love" "attraction:lust" "fear:panic" "angry:enraged"
"homely:grotesque" "overcooked:burnt" "chilled:hypothermia" "dismayed:depressed" "overcooked:burnt" "chilled:hypothermia"
"hyperventilating:breathing" "drinking:swilling" "sadness:depression" "hope:naivete" "hyperventilating:breathing" "drinking:swilling"
"saving:miser" "alert:insomniac" "drinking:alcoholic" "selfish:egotism" "drinking:alcoholic" "alert:insomniac"
"worried:frantic" "chilled:hypothermia" "thrifty:frugality" "alcoholic:drinking" "alcoholic:drinking" "worried:frantic"
"hunger:starvation" "hope:naivete" "affection:love" "crying:sobbing" "hunger:starvation" "crying:sobbing"
"worried:frantic" "breathe:hyperventilate" "angry:enraged" "tired:exhausted" "tired:exhausted" "breathe:hyperventilate"
"fear:panic" "money:rich" "young:underdeveloped" "insomniac:alert" "insomniac:alert" "money:rich"
"breathing:hyperventilating" "crack:break" "attraction:stalking" "homely:grotesque" "crack:break" "breathing:hyperventilating"
"drinking:swilling" "selfish:egotism" "attraction:lust" "nudging:shoving" "nudging:shoving" "drinking:swilling"
"alert:insomniac" "enthusiasm:mania" "drinking:alcoholic" "depressed:dismayed" "depressed:dismayed" "alert:insomniac"
"hyperventilating:breathing" "messy:sloppy" "saving:miser" "warm:sweating" "hyperventilating:breathing" "messy:sloppy"
"hot:burning" "wet:saturated" "fat:obese" "overcooked:burnt" "overcooked:burnt" "hot:burning"
"caring:overbearing" "confident:arrogance" "sadness:depression" "thin:anorexic" "confident:arrogance" "thin:anorexic"
"arrogance:confident" "dismayed:depressed" "hunger:starvation" "crying:sobbing" "hunger:starvation" "crying:sobbing"
"confident:arrogance" "drinking:swilling" "young:underdeveloped" "fat:obese" "fat:obese" "drinking:swilling"
"wet:saturated" "sadness:depression" "breathe:hyperventilate" "depressed:dismayed" "wet:saturated" "breathe:hyperventilate"
"warm:sweating" "thrifty:frugality" "thin:anorexic" "alert:insomniac" "thrifty:frugality" "alert:insomniac"
"hope:naivete" "overcooked:burnt" "crack:break" "messy:sloppy" "overcooked:burnt" "messy:sloppy"
"saving:miser" "caring:overbearing" "drinking:alcoholic" "fear:panic" "fear:panic" "caring:overbearing"
"breathing:hyperventilating" "worried:frantic" "attraction:lust" "homely:grotesque" "attraction:lust" "breathing:hyperventilating"
"alcoholic:drinking" "angry:enraged" "dismayed:depressed" "arrogance:confident" "arrogance:confident" "angry:enraged"
"money:rich" "chilled:hypothermia" "hot:burning" "tired:exhausted" "tired:exhausted" "hot:burning"
"attraction:stalking" "selfish:egotism" "hyperventilating:breathing" "enthusiasm:mania" "hyperventilating:breathing" "enthusiasm:mania"
"affection:love" "nudging:shoving" "insomniac:alert" "enthusiasm:mania" "nudging:shoving" "enthusiasm:mania"
"warm:sweating" "overcooked:burnt" "hope:naivete" "alert:insomniac" "overcooked:burnt" "alert:insomniac"
"arrogance:confident" "crack:break" "fat:obese" "caring:overbearing" "crack:break" "caring:overbearing"
"tired:exhausted" "thrifty:frugality" "depressed:dismayed" "sadness:depression" "tired:exhausted" "sadness:depression"
"drinking:swilling" "angry:enraged" "thin:anorexic" "worried:frantic" "worried:frantic" "drinking:swilling"
"nudging:shoving" "fear:panic" "alcoholic:drinking" "homely:grotesque" "nudging:shoving" "homely:grotesque"
"young:underdeveloped" "hyperventilating:breathing" "hot:burning" "selfish:egotism" "hyperventilating:breathing" "hot:burning"
"confident:arrogance" "attraction:stalking" "attraction:lust" "wet:saturated" "wet:saturated" "confident:arrogance"
"hunger:starvation" "money:rich" "saving:miser" "drinking:alcoholic" "hunger:starvation" "saving:miser"
"dismayed:depressed" "messy:sloppy" "crying:sobbing" "breathing:hyperventilating" "dismayed:depressed" "messy:sloppy"
"breathe:hyperventilate" "chilled:hypothermia" "affection:love" "insomniac:alert" "insomniac:alert" "breathe:hyperventilate"
"messy:sloppy" "enthusiasm:mania" "overcooked:burnt" "saving:miser" "overcooked:burnt" "messy:sloppy"
"hunger:starvation" "crack:break" "fat:obese" "alert:insomniac" "crack:break" "alert:insomniac"
"tired:exhausted" "dismayed:depressed" "drinking:alcoholic" "wet:saturated" "wet:saturated" "drinking:alcoholic"
"alcoholic:drinking" "hot:burning" "thin:anorexic" "attraction:lust" "alcoholic:drinking" "thin:anorexic"
"breathe:hyperventilate" "breathing:hyperventilating" "selfish:egotism" "drinking:swilling" "selfish:egotism" "drinking:swilling"
"fear:panic" "arrogance:confident" "affection:love" "caring:overbearing" "fear:panic" "caring:overbearing"
"worried:frantic" "chilled:hypothermia" "crying:sobbing" "hyperventilating:breathing" "hyperventilating:breathing" "worried:frantic"
"insomniac:alert" "homely:grotesque" "hope:naivete" "depressed:dismayed" "insomniac:alert" "depressed:dismayed"
"warm:sweating" "thrifty:frugality" "attraction:stalking" "angry:enraged" "thrifty:frugality" "angry:enraged"
"young:underdeveloped" "confident:arrogance" "sadness:depression" "money:rich" "young:underdeveloped" "sadness:depression"
"nudging:shoving" "depressed:dismayed" "attraction:stalking" "thin:anorexic" "nudging:shoving" "thin:anorexic"
"hot:burning" "tired:exhausted" "attraction:lust" "fat:obese" "fat:obese" "hot:burning"
"saving:miser" "sadness:depression" "crying:sobbing" "selfish:egotism" "crying:sobbing" "sadness:depression"
"hyperventilating:breathing" "affection:love" "overcooked:burnt" "alcoholic:drinking" "hyperventilating:breathing" "affection:love"
"homely:grotesque" "crack:break" "thrifty:frugality" "young:underdeveloped" "crack:break" "thrifty:frugality"
"enthusiasm:mania" "warm:sweating" "breathe:hyperventilate" "caring:overbearing" "warm:sweating" "breathe:hyperventilate"
"wet:saturated" "messy:sloppy" "angry:enraged" "fear:panic" "fear:panic" "messy:sloppy"
"confident:arrogance" "chilled:hypothermia" "hunger:starvation" "arrogance:confident" "hunger:starvation" "chilled:hypothermia"
"hope:naivete" "drinking:swilling" "worried:frantic" "drinking:alcoholic" "hope:naivete" "drinking:swilling"
"breathing:hyperventilating" "insomniac:alert" "dismayed:depressed" "nudging:shoving" "nudging:shoving" "breathing:hyperventilating"
"money:rich" "alert:insomniac" "worried:frantic" "hunger:starvation" "hunger:starvation" "alert:insomniac"
"crying:sobbing" "chilled:hypothermia" "young:underdeveloped" "enthusiasm:mania" "young:underdeveloped" "enthusiasm:mania"
"attraction:lust" "money:rich" "wet:saturated" "thin:anorexic" "wet:saturated" "thin:anorexic"
"dismayed:depressed" "caring:overbearing" "depressed:dismayed" "alert:insomniac" "dismayed:depressed" "alert:insomniac"
"crack:break" "tired:exhausted" "hope:naivete" "warm:sweating" "crack:break" "warm:sweating"
"fear:panic" "fat:obese" "attraction:stalking" "drinking:alcoholic" "fat:obese" "drinking:alcoholic"
"hot:burning" "saving:miser" "selfish:egotism" "homely:grotesque" "homely:grotesque" "hot:burning"
"drinking:swilling" "angry:enraged" "breathe:hyperventilate" "overcooked:burnt" "overcooked:burnt" "drinking:swilling"
"nudging:shoving" "affection:love" "breathing:hyperventilating" "hyperventilating:breathing" "nudging:shoving" "breathing:hyperventilating"
"thrifty:frugality" "arrogance:confident" "sadness:depression" "messy:sloppy" "arrogance:confident" "messy:sloppy"
"alcoholic:drinking" "confident:arrogance" "insomniac:alert" "arrogance:confident" "insomniac:alert" "confident:arrogance"
"warm:sweating" "homely:grotesque" "alcoholic:drinking" "attraction:lust" "alcoholic:drinking" "warm:sweating"
"young:underdeveloped" "insomniac:alert" "thrifty:frugality" "hunger:starvation" "insomniac:alert" "thrifty:frugality"
"money:rich" "attraction:stalking" "nudging:shoving" "caring:overbearing" "nudging:shoving" "caring:overbearing"
"selfish:egotism" "sadness:depression" "hope:naivete" "drinking:swilling" "hope:naivete" "drinking:swilling"
"hot:burning" "angry:enraged" "affection:love" "depressed:dismayed" "depressed:dismayed" "angry:enraged"
"saving:miser" "crying:sobbing" "breathing:hyperventilating" "wet:saturated" "wet:saturated" "breathing:hyperventilating"
"confident:arrogance" "chilled:hypothermia" "messy:sloppy" "drinking:alcoholic" "drinking:alcoholic" "messy:sloppy"
"alert:insomniac" "dismayed:depressed" "fat:obese" "overcooked:burnt" "overcooked:burnt" "alert:insomniac"
"fear:panic" "thin:anorexic" "hyperventilating:breathing" "breathe:hyperventilate" "hyperventilating:breathing" "breathe:hyperventilate"
"tired:exhausted" "crack:break" "enthusiasm:mania" "worried:frantic" "crack:break" "worried:frantic"
"attraction:stalking" "affection:love" "drinking:swilling" "homely:grotesque" "homely:grotesque" "drinking:swilling"
"insomniac:alert" "money:rich" "drinking:alcoholic" "worried:frantic" "insomniac:alert" "worried:frantic"
"attraction:lust" "fat:obese" "alcoholic:drinking" "crying:sobbing" "fat:obese" "crying:sobbing"
"sadness:depression" "breathing:hyperventilating" "hunger:starvation" "tired:exhausted" "hunger:starvation" "breathing:hyperventilating"
"hot:burning" "confident:arrogance" "nudging:shoving" "angry:enraged" "nudging:shoving" "angry:enraged"
"thin:anorexic" "caring:overbearing" "overcooked:burnt" "fear:panic" "overcooked:burnt" "thin:anorexic"
"breathe:hyperventilate" "saving:miser" "depressed:dismayed" "hope:naivete" "hope:naivete" "breathe:hyperventilate"
"alert:insomniac" "dismayed:depressed" "thrifty:frugality" "enthusiasm:mania" "dismayed:depressed" "alert:insomniac"
"young:underdeveloped" "selfish:egotism" "chilled:hypothermia" "warm:sweating" "young:underdeveloped" "chilled:hypothermia"
"crack:break" "wet:saturated" "hyperventilating:breathing" "messy:sloppy" "hyperventilating:breathing" "messy:sloppy"
"arrogance:confident" "caring:overbearing" "alcoholic:drinking" "drinking:alcoholic" "arrogance:confident" "caring:overbearing"
"crying:sobbing" "thin:anorexic" "hope:naivete" "sadness:depression" "hope:naivete" "thin:anorexic"
"breathe:hyperventilate" "attraction:stalking" "money:rich" "crack:break" "crack:break" "breathe:hyperventilate"
"depressed:dismayed" "insomniac:alert" "hunger:starvation" "dismayed:depressed" "insomniac:alert" "depressed:dismayed"
"thrifty:frugality" "selfish:egotism" "messy:sloppy" "warm:sweating" "thrifty:frugality" "messy:sloppy"
"affection:love" "fat:obese" "alert:insomniac" "overcooked:burnt" "overcooked:burnt" "alert:insomniac"
"breathing:hyperventilating" "drinking:swilling" "saving:miser" "tired:exhausted" "tired:exhausted" "drinking:swilling"
"chilled:hypothermia" "attraction:lust" "angry:enraged" "hyperventilating:breathing" "hyperventilating:breathing" "angry:enraged"
"fear:panic" "young:underdeveloped" "confident:arrogance" "homely:grotesque" "fear:panic" "confident:arrogance"
"nudging:shoving" "arrogance:confident" "enthusiasm:mania" "hot:burning" "nudging:shoving" "enthusiasm:mania"
"wet:saturated" "worried:frantic" "alcoholic:drinking" "attraction:stalking" "wet:saturated" "worried:frantic"
