#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-5d.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-5d.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-5d.txt
#   Number of Unique Pairs:       44
#   Number of MaxDiff Questions:  110
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"grieving:mourning" "tired:exhaustion" "peace:magnanimous" "ignorant:bliss" "peace:magnanimous" "ignorant:bliss"
"happy:contentment" "laughing:amusement" "morose:sadness" "crying:sadness" "happy:contentment" "morose:sadness"
"sad:depression" "shaking:fear" "habitual:routine" "emotional:turmoil" "shaking:fear" "habitual:routine"
"thoughtful:contemplation" "illogical:confusion" "determined:certainty" "giddy:happiness" "determined:certainty" "illogical:confusion"
"brittle:bones" "parched:thirstiness" "lazy:indolence" "lovable:attitude" "parched:thirstiness" "lazy:indolence"
"cold:frigid" "angry:belligerence" "anger:yelling" "angry:furious" "angry:belligerence" "cold:frigid"
"drunk:intoxication" "sad:depressed" "curious:investigation" "messy:disarray" "sad:depressed" "curious:investigation"
"incompetent:disaster" "nutritious:vegetables" "starving:hunger" "ecstatic:joyful" "starving:hunger" "incompetent:disaster"
"yelling:anger" "magnanimous:peace" "contentment:happy" "cramps:aching" "cramps:aching" "yelling:anger"
"joyful:ecstatic" "fastidious:perturbation" "pensive:thought" "pedantic:reading" "pedantic:reading" "joyful:ecstatic"
"mad:anger" "frigid:cold" "lethargic:fatigue" "provocative:controversy" "frigid:cold" "lethargic:fatigue"
"determined:certainty" "lovable:attitude" "illogical:confusion" "laughing:amusement" "lovable:attitude" "illogical:confusion"
"drunk:intoxication" "angry:furious" "pedantic:reading" "lazy:indolence" "angry:furious" "drunk:intoxication"
"ignorant:bliss" "shaking:fear" "brittle:bones" "cold:frigid" "shaking:fear" "ignorant:bliss"
"habitual:routine" "angry:belligerence" "pensive:thought" "ecstatic:joyful" "angry:belligerence" "habitual:routine"
"nutritious:vegetables" "peace:magnanimous" "fastidious:perturbation" "emotional:turmoil" "peace:magnanimous" "nutritious:vegetables"
"happy:contentment" "contentment:happy" "grieving:mourning" "sad:depression" "contentment:happy" "grieving:mourning"
"joyful:ecstatic" "frigid:cold" "giddy:happiness" "sad:depressed" "frigid:cold" "giddy:happiness"
"tired:exhaustion" "thoughtful:contemplation" "parched:thirstiness" "starving:hunger" "parched:thirstiness" "thoughtful:contemplation"
"anger:yelling" "mad:anger" "messy:disarray" "crying:sadness" "anger:yelling" "messy:disarray"
"incompetent:disaster" "cramps:aching" "yelling:anger" "magnanimous:peace" "cramps:aching" "incompetent:disaster"
"lethargic:fatigue" "morose:sadness" "provocative:controversy" "curious:investigation" "morose:sadness" "lethargic:fatigue"
"cramps:aching" "laughing:amusement" "peace:magnanimous" "angry:belligerence" "angry:belligerence" "laughing:amusement"
"curious:investigation" "yelling:anger" "drunk:intoxication" "pedantic:reading" "pedantic:reading" "curious:investigation"
"illogical:confusion" "happy:contentment" "habitual:routine" "provocative:controversy" "happy:contentment" "provocative:controversy"
"contentment:happy" "joyful:ecstatic" "starving:hunger" "thoughtful:contemplation" "starving:hunger" "thoughtful:contemplation"
"incompetent:disaster" "lovable:attitude" "morose:sadness" "parched:thirstiness" "parched:thirstiness" "incompetent:disaster"
"anger:yelling" "nutritious:vegetables" "pensive:thought" "crying:sadness" "anger:yelling" "nutritious:vegetables"
"giddy:happiness" "emotional:turmoil" "shaking:fear" "fastidious:perturbation" "fastidious:perturbation" "giddy:happiness"
