#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-5i.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-5i.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-5i.txt
#   Number of Unique Pairs:       44
#   Number of MaxDiff Questions:  110
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"lubricate:efficient" "discrimination:separate" "iron:pressed" "fire:hot" "discrimination:separate" "lubricate:efficient"
"ice:cold" "star:bright" "glue:sticky" "mix:blend" "mix:blend" "glue:sticky"
"dismantle:destroyed" "poison:die" "flat:smash" "sun:hot" "flat:smash" "sun:hot"
"crash:noise" "sell:price" "divide:parts" "fix:repaired" "crash:noise" "fix:repaired"
"sift:separated" "sun:tan" "lies:untrustworthy" "taint:poisoned" "lies:untrustworthy" "sift:separated"
"sand:smooth" "price:sell" "heat:hot" "envelop:surrounded" "price:sell" "sand:smooth"
"ask:answers" "joke:laughter" "wash:clean" "sandpaper:smooth" "ask:answers" "sandpaper:smooth"
"stab:wound" "beat:defeated" "fire:burnt" "dig:hole" "stab:wound" "beat:defeated"
"pollen:cough" "fast:car" "eat:satisfaction" "car:fast" "fast:car" "car:fast"
"exercise:fatigue" "heat:warm" "smash:flat" "laughter:joke" "exercise:fatigue" "smash:flat"
"teach:educated" "burn:heat" "flame:blister" "separated:sift" "separated:sift" "flame:blister"
"laughter:joke" "pollen:cough" "price:sell" "teach:educated" "pollen:cough" "laughter:joke"
"flame:blister" "exercise:fatigue" "poison:die" "car:fast" "poison:die" "flame:blister"
"smash:flat" "ice:cold" "discrimination:separate" "ask:answers" "ask:answers" "smash:flat"
"fast:car" "envelop:surrounded" "lubricate:efficient" "sift:separated" "fast:car" "lubricate:efficient"
"joke:laughter" "dismantle:destroyed" "heat:warm" "sun:tan" "joke:laughter" "dismantle:destroyed"
"taint:poisoned" "heat:hot" "beat:defeated" "burn:heat" "burn:heat" "beat:defeated"
"fire:burnt" "wash:clean" "sun:hot" "fire:hot" "fire:burnt" "sun:hot"
"iron:pressed" "crash:noise" "star:bright" "lies:untrustworthy" "lies:untrustworthy" "star:bright"
"separated:sift" "divide:parts" "sell:price" "flat:smash" "separated:sift" "divide:parts"
"dig:hole" "glue:sticky" "fix:repaired" "stab:wound" "stab:wound" "glue:sticky"
"sand:smooth" "sandpaper:smooth" "eat:satisfaction" "mix:blend" "eat:satisfaction" "sandpaper:smooth"
"lies:untrustworthy" "wash:clean" "joke:laughter" "taint:poisoned" "lies:untrustworthy" "taint:poisoned"
"ask:answers" "separated:sift" "car:fast" "sand:smooth" "separated:sift" "sand:smooth"
"fix:repaired" "fast:car" "heat:warm" "teach:educated" "fast:car" "heat:warm"
"glue:sticky" "flame:blister" "price:sell" "beat:defeated" "price:sell" "beat:defeated"
"sell:price" "poison:die" "fire:burnt" "dismantle:destroyed" "sell:price" "dismantle:destroyed"
"star:bright" "fire:hot" "eat:satisfaction" "crash:noise" "crash:noise" "star:bright"
"pollen:cough" "discrimination:separate" "exercise:fatigue" "stab:wound" "stab:wound" "exercise:fatigue"
"sun:hot" "sandpaper:smooth" "divide:parts" "smash:flat" "divide:parts" "sandpaper:smooth"
"lubricate:efficient" "laughter:joke" "sun:tan" "flat:smash" "flat:smash" "lubricate:efficient"
"heat:hot" "dig:hole" "sift:separated" "iron:pressed" "dig:hole" "sift:separated"
"ice:cold" "burn:heat" "envelop:surrounded" "mix:blend" "burn:heat" "ice:cold"
"burn:heat" "smash:flat" "fire:burnt" "sand:smooth" "burn:heat" "sand:smooth"
"flat:smash" "stab:wound" "divide:parts" "flame:blister" "flat:smash" "divide:parts"
"star:bright" "car:fast" "dismantle:destroyed" "price:sell" "price:sell" "star:bright"
"taint:poisoned" "ask:answers" "discrimination:separate" "heat:warm" "ask:answers" "taint:poisoned"
"sandpaper:smooth" "iron:pressed" "ice:cold" "dig:hole" "dig:hole" "sandpaper:smooth"
"lies:untrustworthy" "fast:car" "teach:educated" "sun:hot" "lies:untrustworthy" "sun:hot"
"mix:blend" "lubricate:efficient" "beat:defeated" "laughter:joke" "laughter:joke" "lubricate:efficient"
"glue:sticky" "fire:hot" "exercise:fatigue" "heat:hot" "exercise:fatigue" "glue:sticky"
"sun:tan" "envelop:surrounded" "eat:satisfaction" "joke:laughter" "joke:laughter" "envelop:surrounded"
"crash:noise" "wash:clean" "pollen:cough" "separated:sift" "separated:sift" "wash:clean"
